id_reg,desc_reg,date,load_mwmed
SE,SUDESTE,2000-04-28 00:00:00,26943.85
N,NORTE,2000-04-29 00:00:00,2389.4375
NE,NORDESTE,2000-04-29 00:00:00,5672.475
S,SUL,2000-04-29 00:00:00,6589.325
SE,SUDESTE,2000-04-29 00:00:00,24723.9875
N,NORTE,2000-04-30 00:00:00,2320.075
NE,NORDESTE,2000-04-30 00:00:00,5214.10416667
S,SUL,2000-04-30 00:00:00,5445.24166667
SE,SUDESTE,2000-04-30 00:00:00,22078.47083333
N,NORTE,2000-05-01 00:00:00,2315.6
NE,NORDESTE,2000-05-01 00:00:00,4993.3875
S,SUL,2000-05-01 00:00:00,5323.6625
SE,SUDESTE,2000-05-01 00:00:00,21881.5375
N,NORTE,2000-05-02 00:00:00,2497.525
NE,NORDESTE,2000-05-02 00:00:00,5926.08333333
S,SUL,2000-05-02 00:00:00,7043.13333333
SE,SUDESTE,2000-05-02 00:00:00,26977.29166667
N,NORTE,2000-05-03 00:00:00,2498.20416667
NE,NORDESTE,2000-05-03 00:00:00,6053.44583333
S,SUL,2000-05-03 00:00:00,7266.16666667
SE,SUDESTE,2000-05-03 00:00:00,27749.7125
N,NORTE,2000-05-04 00:00:00,2506.54583333
NE,NORDESTE,2000-05-04 00:00:00,6068.04166667
S,SUL,2000-05-04 00:00:00,7332.225
SE,SUDESTE,2000-05-04 00:00:00,27879.17083333
